Year,NOC,medalcount
1960,ARG,2
1960,AUS,19
1960,AUT,2
1960,BEL,4
1960,BGR,7
1960,BRA,2
1960,CAN,1
1960,CHE,6
1960,DEU,41
1960,DNK,6
1960,ESP,1
1960,ETH,1
1960,FIN,5
1960,FRA,5
1960,GBR,20
1960,GHA,1
1960,GRC,1
1960,HUN,19
1960,IND,1
1960,IRN,4
1960,IRQ,1
1960,ITA,34
1960,JPN,17
1960,MAR,1
1960,MEX,1
1960,NLD,3
1960,NOR,1
1960,NZL,3
1960,PAK,2
1960,POL,20
1960,PRT,1
1960,ROU,10
1960,RUS,82
1960,SGP,1
1960,SWE,6
1960,TCH,8
1960,TUR,9
1960,TWN,1
1960,UAR,2
1960,USA,56
1960,VEN,1
1960,WIF,2
1960,YUG,2
1960,ZAF,3
1964,ARG,1
1964,AUS,16
1964,BEL,3
1964,BGR,10
1964,BHS,1
1964,BRA,1
1964,CAN,4
1964,CHE,4
1964,CUB,1
1964,DEU,48
1964,DNK,6
1964,ETH,1
1964,FIN,5
1964,FRA,14
1964,GBR,18
1964,GHA,1
1964,HUN,21
1964,IND,1
1964,IRL,1
1964,IRN,2
1964,ITA,26
1964,JPN,27
1964,KEN,1
1964,KOR,3
1964,MEX,1
1964,NGA,1
1964,NLD,10
1964,NZL,4
1964,PAK,1
1964,PHL,1
1964,POL,22
1964,ROU,12
1964,RUS,81
1964,SWE,8
1964,TCH,14
1964,TTO,3
1964,TUN,2
1964,TUR,6
1964,URY,1
1964,USA,66
1964,YUG,5
1968,ARG,2
1968,AUS,15
1968,AUT,4
1968,BEL,2
1968,BGR,9
1968,BRA,3
1968,CAN,5
1968,CHE,5
1968,CMR,1
1968,CUB,4
1968,DEU,24
1968,DNK,8
1968,ETH,2
1968,FIN,4
1968,FRA,14
1968,GBR,11
1968,GDR,24
1968,GRC,1
1968,HUN,31
1968,IND,1
1968,IRN,5
1968,ITA,16
1968,JAM,1
1968,JPN,19
1968,KEN,7
1968,KOR,2
1968,MEX,9
1968,MNG,4
1968,NLD,7
1968,NOR,2
1968,NZL,3
1968,PAK,1
1968,POL,17
1968,ROU,15
1968,RUS,82
1968,SWE,4
1968,TCH,13
1968,TUN,2
1968,TUR,2
1968,TWN,1
1968,UGA,2
1968,USA,73
1968,VEN,1
1968,YUG,8
1972,ARG,1
1972,AUS,17
1972,AUT,3
1972,BEL,2
1972,BGR,20
1972,BRA,2
1972,CAN,5
1972,CHE,3
1972,COL,3
1972,CUB,8
1972,DEU,38
1972,DNK,1
1972,ESP,1
1972,ETH,2
1972,FIN,8
1972,FRA,13
1972,GBR,18
1972,GDR,60
1972,GHA,1
1972,GRC,2
1972,HUN,33
1972,IND,1
1972,IRN,3
1972,ITA,16
1972,JAM,1
1972,JPN,20
1972,KEN,8
1972,KOR,1
1972,LIB,1
1972,MEX,1
1972,MNG,1
1972,NER,1
1972,NGA,1
1972,NLD,5
1972,NOR,4
1972,NZL,3
1972,PAK,1
1972,POL,21
1972,PRK,5
1972,ROU,16
1972,RUS,90
1972,SWE,16
1972,TCH,8
1972,TUN,1
1972,TUR,1
1972,UGA,2
1972,USA,71
1972,YUG,5
1976,AUS,5
1976,AUT,1
1976,BEL,6
1976,BGR,22
1976,BMU,1
1976,BRA,2
1976,CAN,10
1976,CHE,4
1976,CUB,13
1976,DEU,35
1976,DNK,3
1976,ESP,2
1976,FIN,6
1976,FRA,9
1976,GBR,13
1976,GDR,74
1976,HUN,22
1976,IRN,2
1976,ITA,13
1976,JAM,2
1976,JPN,21
1976,KOR,6
1976,MEX,2
1976,MNG,1
1976,NLD,5
1976,NOR,2
1976,NZL,4
1976,PAK,1
1976,POL,26
1976,PRI,1
1976,PRK,2
1976,PRT,2
1976,ROU,25
1976,RUS,109
1976,SWE,5
1976,TCH,8
1976,THA,1
1976,TTO,1
1976,USA,71
1976,VEN,1
1976,YUG,8
1980,AUS,9
1980,AUT,4
1980,BEL,1
1980,BGR,39
1980,BRA,4
1980,CHE,2
1980,CUB,20
1980,DNK,5
1980,ESP,6
1980,ETH,3
1980,FIN,8
1980,FRA,14
1980,GBR,19
1980,GDR,105
1980,GRC,3
1980,GUY,1
1980,HUN,31
1980,IND,1
1980,IRL,2
1980,ITA,15
1980,JAM,3
1980,LIB,1
1980,MEX,4
1980,MNG,4
1980,NLD,3
1980,POL,31
1980,PRK,4
1980,ROU,24
1980,RUS,156
1980,SWE,11
1980,TCH,14
1980,TZA,2
1980,UGA,1
1980,VEN,1
1980,YUG,9
1980,ZWE,1
1984,AUS,24
1984,AUT,3
1984,BEL,4
1984,BRA,8
1984,CAN,44
1984,CHE,8
1984,CHN,26
1984,CIV,1
1984,CMR,1
1984,COL,1
1984,DEU,56
1984,DNK,6
1984,DOM,1
1984,DZA,2
1984,EGY,1
1984,ESP,5
1984,FIN,12
1984,FRA,26
1984,GBR,33
1984,GRC,2
1984,IRL,1
1984,ISL,1
1984,ITA,30
1984,JAM,3
1984,JPN,30
1984,KEN,3
1984,KOR,18
1984,MAR,2
1984,MEX,5
1984,NGA,2
1984,NLD,13
1984,NOR,3
1984,NZL,11
1984,PAK,1
1984,PER,1
1984,PRI,2
1984,PRT,3
1984,ROU,46
1984,SWE,19
1984,SYR,1
1984,THA,1
1984,TUR,3
1984,TWN,1
1984,USA,138
1984,VEN,3
