Year,NOC,region,Sport,Event,Medal
2008,NOR,Norway,Handball,Handball Women's Handball,Gold
1988,NLD,,Hockey,Hockey Women's Hockey,Bronze
1996,NLD,,Rowing,Rowing Men's Lightweight Double Sculls,Silver
1996,NOR,Norway,Football,Football Women's Football,Bronze
2016,ITA,Italy,Rowing,Rowing Men's Coxless Pairs,Bronze
2008,ESP,Spain,Fencing,"Fencing Men's epee, Individual",Bronze
2016,AZE,Azerbaijan,Taekwondo,Taekwondo Women's Flyweight,Bronze
2008,RUS,Russia,Athletics,Athletics Women's Javelin Throw,Silver
2008,BLR,Belarus,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
2008,FRA,France,Handball,Handball Men's Handball,Gold
2012,FRA,France,Handball,Handball Men's Handball,Gold
2016,FRA,France,Handball,Handball Men's Handball,Silver
2000,CMR,Cameroon,Football,Football Men's Football,Gold
1996,ESP,Spain,Water Polo,Water Polo Men's Water Polo,Gold
2004,USA,USA,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver
1980,ESP,Spain,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Gold
1984,ESP,Spain,Athletics,"Athletics Men's 1,500 metres",Bronze
2004,RUS,Russia,Cycling,Cycling Women's Sprint,Silver
1992,HUN,Hungary,Fencing,"Fencing Men's Sabre, Team",Silver
1988,ITA,Italy,Rowing,Rowing Men's Quadruple Sculls,Gold
1996,ITA,Italy,Rowing,Rowing Men's Double Sculls,Gold
2000,ITA,Italy,Rowing,Rowing Men's Quadruple Sculls,Gold
1984,ITA,Italy,Rowing,Rowing Men's Coxed Pairs,Gold
1988,ITA,Italy,Rowing,Rowing Men's Coxed Pairs,Gold
1992,ITA,Italy,Rowing,Rowing Men's Coxed Pairs,Silver
2008,AUS,Australia,Hockey,Hockey Men's Hockey,Bronze
2008,USA,USA,Softball,Softball Women's Softball,Silver
2004,USA,USA,Taekwondo,Taekwondo Women's Featherweight,Silver
2016,IRN,,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Bronze
1984,CAN,Canada,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
1960,PAK,Pakistan,Hockey,Hockey Men's Hockey,Gold
1964,PAK,Pakistan,Hockey,Hockey Men's Hockey,Silver
1972,RUS,Russia,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
2000,UZB,Uzbekistan,Boxing,Boxing Men's Light-Welterweight,Gold
1996,AZE,Azerbaijan,Wrestling,"Wrestling Men's Flyweight, Freestyle",Silver
2000,AZE,Azerbaijan,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Gold
2000,USA,USA,Basketball,Basketball Men's Basketball,Gold
2008,TJK,Tajikistan,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Silver
1992,EUN,Russia,Athletics,Athletics Men's Hammer Throw,Gold
1992,ETH,Ethiopia,Athletics,"Athletics Men's 10,000 metres",Bronze
1972,GDR,Germany,Gymnastics,Gymnastics Women's Team All-Around,Silver
2012,CAN,Canada,Diving,Diving Women's Synchronized Springboard,Bronze
1992,ESP,Spain,Football,Football Men's Football,Gold
2000,ETH,Ethiopia,Athletics,Athletics Men's Marathon,Gold
2000,USA,USA,Baseball,Baseball Men's Baseball,Gold
2008,TUR,Turkey,Athletics,"Athletics Women's 5,000 metres",Silver
1980,BGR,,Wrestling,"Wrestling Men's Middleweight, Freestyle",Gold
2012,RUS,Russia,Gymnastics,Gymnastics Men's Floor Exercise,Bronze
2012,RUS,Russia,Gymnastics,Gymnastics Men's Horse Vault,Silver
2016,RUS,Russia,Gymnastics,Gymnastics Men's Team All-Around,Silver
2016,RUS,Russia,Gymnastics,Gymnastics Men's Horse Vault,Silver
2016,RUS,Russia,Gymnastics,Gymnastics Men's Rings,Bronze
1972,RUS,Russia,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
1972,RUS,Russia,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
